;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;<---------------------------Produktion----------------------->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tid;Total förbrukning;Vindkraft;Vattenkraft;Kärnkraft;Övr.värmekraft;Ospec. prod.;Solkraft;Energilager;Total produktion;Import/export;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.1.2024 5:00;-19149,22;5500,91;8283,70;6305,06;749,78;28,00;4,97;0,00;20872,42;-1723,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.1.2024 6:00;-20361,94;5558,56;9314,77;6302,63;801,71;24,76;5,20;0,00;22007,63;-1646,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.1.2024 7:00;-21409,95;5565,57;10650,84;6303,45;840,03;25,41;5,41;0,00;23390,71;-1980,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.1.2024 8:00;-21974,42;5565,01;11438,77;6302,64;884,79;26,60;5,53;0,00;24223,34;-2252,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.1.2024 9:00;-22145,43;5533,45;11710,71;6303,97;881,39;35,96;6,47;0,00;24471,95;-2326,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.1.2024 10:00;-22376,25;5602,92;11768,58;6303,45;837,08;23,82;9,71;0,00;24545,56;-2169,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.1.2024 11:00;-22481,69;5617,75;11712,55;6302,99;823,44;28,87;11,45;0,00;24497,05;-2015,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.1.2024 12:00;-22599,48;5547,43;11866,02;6303,06;831,08;26,95;10,73;0,00;24585,27;-1985,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.1.2024 13:00;-22563,60;5473,21;11890,63;6303,97;843,28;29,63;8,95;0,00;24549,66;-1986,02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.1.2024 14:00;-22640,70;5474,22;12175,38;6305,15;864,25;28,55;6,82;0,00;24854,36;-2213,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.1.2024 15:00;-22940,72;5520,98;12191,70;6306,03;838,83;27,77;5,35;0,00;24890,65;-1949,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.1.2024 16:00;-23123,35;5476,96;12484,38;6305,33;864,20;29,92;1,68;0,00;25162,47;-2039,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.1.2024 17:00;-23214,34;5469,90;12723,98;6307,79;875,43;31,85;1,86;0,00;25410,81;-2196,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.1.2024 18:00;-22781,32;5500,80;12659,41;6307,23;856,65;33,10;1,50;0,00;25358,71;-2577,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.1.2024 19:00;-22343,00;5469,47;12582,75;6306,19;838,08;33,06;1,25;0,00;25230,79;-2887,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.1.2024 20:00;-21693,12;5386,80;12251,03;6305,90;834,60;33,29;1,15;0,00;24812,76;-3119,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.1.2024 21:00;-21013,53;5446,81;11719,48;6305,42;836,69;33,68;1,47;0,00;24343,54;-3329,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.1.2024 22:00;-20313,71;5459,09;11439,43;6307,43;818,55;33,12;1,08;0,00;24058,70;-3744,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.1.2024 23:00;-19735,94;5473,29;10780,25;6307,00;804,04;31,07;1,11;0,00;23396,76;-3660,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
