Date/Time SNT;MBA;Load Profile [MWh]
05.01.2024/01:15;SE1, SE2, SE3, SE4;-1888,010333
05.01.2024/01:30;SE1, SE2, SE3, SE4;-1882,25356
05.01.2024/01:45;SE1, SE2, SE3, SE4;-1875,188967
05.01.2024/02:00;SE1, SE2, SE3, SE4;-1871,728617
05.01.2024/02:15;SE1, SE2, SE3, SE4;-1878,058279
05.01.2024/02:30;SE1, SE2, SE3, SE4;-1879,812525
05.01.2024/02:45;SE1, SE2, SE3, SE4;-1876,729967
05.01.2024/03:00;SE1, SE2, SE3, SE4;-1885,787028
05.01.2024/03:15;SE1, SE2, SE3, SE4;-1886,103403
05.01.2024/03:30;SE1, SE2, SE3, SE4;-1885,871932
05.01.2024/03:45;SE1, SE2, SE3, SE4;-1893,740125
05.01.2024/04:00;SE1, SE2, SE3, SE4;-1906,055286
05.01.2024/04:15;SE1, SE2, SE3, SE4;-1915,967161
05.01.2024/04:30;SE1, SE2, SE3, SE4;-1910,134643
05.01.2024/04:45;SE1, SE2, SE3, SE4;-1909,082525
05.01.2024/05:00;SE1, SE2, SE3, SE4;-1946,317334
05.01.2024/05:15;SE1, SE2, SE3, SE4;-1945,27927
05.01.2024/05:30;SE1, SE2, SE3, SE4;-1948,898524
05.01.2024/05:45;SE1, SE2, SE3, SE4;-1953,194359
